Project_Name,Sample_Name,Sample_ID,Extracted_DNA_ng/ul,PCR_Run_ID,DNA_plate_ID,DNA_Well_Position,"ul extracted DNA in PCR",Dilution_from_Original,PCR_Well_Position,ngDNA_PCR,Polymerase,DNA_index_ID_forward,DNA_index_ID_reverse,PCR_Notes,PCR_concentration,Sequenced?,Sequencing_Run_ID,SummedReads
LISS,BP018M,BP018M,26.4,RID001390,LISSplate2,B06,1,1,G08,26.4,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA708,,0,yes,SID2413,36341
LISS,BP019M,BP019M,42.6,RID001390,LISSplate2,B07,1,1,B09,42.6,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA709,,0.05,yes,SID2413,56679
LISS,BP020M,BP020M,30.4,RID001390,LISSplate2,B08,1,1,E09,30.4,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA709,,0,yes,SID2413,31432
LISS,GR001M,GR001M,48.1,RID001390,LISSplate1,B09,1,1,G04,48.1,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA704,,0,yes,SID2413,39358
LISS,GR002M,GR002M,16.5,RID001390,LISSplate1,B10,2,1,B05,33,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA705,,0.2,yes,SID2413,52882
LISS,GR003M,GR003M,19.5,RID001390,LISSplate1,B11,2,1,E05,39,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA705,,0,yes,SID2413,11563
LISS,GR003M,GR003M,19.5,RID001390,LISSplate1,B11,2,1,E05,39,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA705,,0,yes,SID2419,11563
LISS,GR004M,GR004M,49,RID001390,LISSplate1,B12,1,1,H05,49,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA705,,0,yes,SID2413,12978
LISS,GR005M,GR005M,15.9,RID001390,LISSplate1,C01,2,1,C01,31.8,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA701,,0,yes,SID2413,25068
LISS,GR006M,GR006M,26.4,RID001390,LISSplate1,C02,1,1,G01,26.4,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA701,,0.14,yes,SID2413,63139
LISS,GR007M,GR007M,11.6,RID001390,LISSplate1,C03,3,1,C02,34.8,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA702,,0,yes,SID2413,16914
LISS,GR008M,GR008M,27,RID001390,LISSplate1,C04,1,1,G02,27,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA702,,0.03,yes,SID2413,70512
LISS,GR009M,GR009M,43.4,RID001390,LISSplate1,C05,1,1,C03,43.4,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA703,,0,yes,SID2413,20029
LISS,GR010M,GR010M,33.4,RID001390,LISSplate1,C06,1,1,G03,33.4,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA703,,0,yes,SID2413,36960
